x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-3.084375,-3.084375,-3.084375,-3.084375,-3.084375,-3.084375,-3.084375,-3.084375,-3.084375,-3.084375
-3.075625,-3.075625,-3.075625,-3.075625,-3.075625,-3.075625,-3.075625,-3.075625,-3.075625,-3.075625
-3.066875,-3.066875,-3.066875,-3.066875,-3.066875,-3.066875,-3.066875,-3.066875,-3.066875,-3.066875
-3.058125,-3.058125,-3.058125,-3.058125,-3.058125,-3.058125,-3.058125,-3.058125,-3.058125,-3.058125
-3.049375,-3.049375,-3.049375,-3.049375,-3.049375,-3.049375,-3.049375,-3.049375,-3.049375,-3.049375
-3.040625,-3.040625,-3.040625,-3.040625,-3.040625,-3.040625,-3.040625,-3.040625,-3.040625,-3.040625
-3.031875,-3.031875,-3.031875,-3.031875,-3.031875,-3.031875,-3.031875,-3.031875,-3.031875,-3.031875
-3.023125,-3.023125,-3.023125,-3.023125,-3.023125,-3.023125,-3.023125,-3.023125,-3.023125,-3.023125
-3.014375,-3.014375,-3.014375,-3.014375,-3.014375,-3.014375,-3.014375,-3.014375,-3.014375,-3.014375
-3.0056249999999998,-3.0056249999999998,-3.0056249999999998,-3.0056249999999998,-3.0056249999999998,-3.0056249999999998,-3.0056249999999998,-3.0056249999999998,-3.0056249999999998,-3.0056249999999998
-2.996875,-2.996875,-2.996875,-2.996875,-2.996875,-2.996875,-2.996875,-2.996875,-2.996875,-2.996875
-2.988125,-2.988125,-2.988125,-2.988125,-2.988125,-2.988125,-2.988125,-2.988125,-2.988125,-2.988125
-2.979375,-2.979375,-2.979375,-2.979375,-2.979375,-2.979375,-2.979375,-2.979375,-2.979375,-2.979375
-2.970625,-2.970625,-2.970625,-2.970625,-2.970625,-2.970625,-2.970625,-2.970625,-2.970625,-2.970625
-2.961875,-2.961875,-2.961875,-2.961875,-2.961875,-2.961875,-2.961875,-2.961875,-2.961875,-2.961875
-2.953125,-2.953125,-2.953125,-2.953125,-2.953125,-2.953125,-2.953125,-2.953125,-2.953125,-2.953125
-2.944375,-2.944375,-2.944375,-2.944375,-2.944375,-2.944375,-2.944375,-2.944375,-2.944375,-2.944375
-2.935625,-2.935625,-2.935625,-2.935625,-2.935625,-2.935625,-2.935625,-2.935625,-2.935625,-2.935625
-2.926875,-2.926875,-2.926875,-2.926875,-2.926875,-2.926875,-2.926875,-2.926875,-2.926875,-2.926875
-2.918125,-2.918125,-2.918125,-2.918125,-2.918125,-2.918125,-2.918125,-2.918125,-2.918125,-2.918125
-2.909375,-2.909375,-2.909375,-2.909375,-2.909375,-2.909375,-2.909375,-2.909375,-2.909375,-2.909375
-2.900625,-2.900625,-2.900625,-2.900625,-2.900625,-2.900625,-2.900625,-2.900625,-2.900625,-2.900625
-2.8918749999999998,-2.8918749999999998,-2.8918749999999998,-2.8918749999999998,-2.8918749999999998,-2.8918749999999998,-2.8918749999999998,-2.8918749999999998,-2.8918749999999998,-2.8918749999999998
-2.8831249999999997,-2.8831249999999997,-2.8831249999999997,-2.8831249999999997,-2.8831249999999997,-2.8831249999999997,-2.8831249999999997,-2.8831249999999997,-2.8831249999999997,-2.8831249999999997
